Random ID,AgeGroup,GuessAcc,GuessRT,Prop_Repeated_Errors,ErrorfulAcc_Excl,ErrorfulRT_Excl,ErrorlessAcc_Excl,ID,AgeGroup2,Condition,Accuracy,ErrorlessRT_Excl,ErrorfulAcc_Incl,ErrorfulRT_Incl,ErrorlessAcc_Incl,ErrorlessRT_Incl,VocabTestAcc,VocabTestRT,RotationAcc,RotationRT,Age,Education,Repetition,Imagery,Action,Keyword,Story,Other,Other Description,Metacognition,Metacog,condition,accuracy
430689,Older,0.05,6170.05,0,0.894737,5996.210526,0.7,430689,Older,0,0.7,5848.7,0.9,5971.1,0.7,5848.7,0.975,3809.55,0.773333333,1567.708333,68,5,0,1,0,0,0,0,NA,Errorless,0,Errorless,0.7
430695,Younger,0.1,7923.05,0.055555556,0.555556,5974.444444,0.2,430695,Younger,0,0.2,7093.95,0.55,5656.25,0.2,7093.95,0.45,6405.4,0.52,1922.550725,23,4,1,0,0,1,0,0,NA,Errorful,1,Errorless,0.2
430698,Older,0.15,5631,0.117647059,0.764706,7041.823529,0.7,430698,Older,0,0.7,4849.25,0.8,6629.25,0.7,4849.25,0.975,2559.2,0.72,1633.239437,69,2,1,0,0,1,0,0,NA,Errorless,0,Errorless,0.7
430735,Younger,0.05,7364.55,0,0.947368,4117.157895,0.75,430735,Younger,0,0.75,4390.3,0.95,4133.95,0.75,4390.3,0.9,3694.1,0.853333333,1536.098592,21,2,1,1,0,1,0,0,NA,Errorful,1,Errorless,0.75
430767,Younger,0.15,4309.05,0.117647059,0.529412,4726.588235,0,430767,Younger,0,0,4240.65,0.6,4553.9,0,4240.65,0.55,2863.425,0.693333333,1157.070423,21,4,1,1,0,0,0,0,NA,Errorful,1,Errorless,0
431652,Younger,0.1,3582.15,0,0.833333,3905.833333,0.65,431652,Younger,0,0.65,3606.6,0.85,3788,0.65,3606.6,0.7,4390.2,0.8,1214.242857,21,2,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.65
431653,Younger,0.05,6141.4,0.052631579,0.947368,2849.789474,0.8,431653,Younger,0,0.8,4443.2,0.95,2910.2,0.8,4443.2,0.675,4901.625,0.866666667,1303.959459,23,2,0,1,0,1,0,0,NA,Errorless,0,Errorless,0.8
431654,Younger,0,6081.55,0.05,0.9,7149.6,0.9,431654,Younger,0,0.9,4425.3,0.9,7149.6,0.9,4425.3,0.675,4383.2,0.733333333,1580.931507,21,2,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.9
431679,Younger,0.05,11073.5,0.052631579,0.631579,11089.10526,0.7,431679,Younger,0,0.7,6958.85,0.65,10719.75,0.7,6958.85,0.7,5413.275,0.813333333,1289.878378,22,4,1,0,0,1,0,0,NA,Errorless,0,Errorless,0.7
431703,Older,0.1,4238.35,0,0.944444,6077.888889,0.9,431703,Older,0,0.9,4110.3,0.95,5813.05,0.9,4110.3,1,4197.65,0.826666667,1660.086957,66,4,0,1,0,0,0,0,NA,Errorful,1,Errorless,0.9
431704,Older,0.15,8528.1,0.529411765,0.058824,6697.411765,0.05,431704,Older,0,0.05,7694.7,0.15,6696,0.05,7694.7,0.75,3356.05,0.706666667,1633.617647,60,4,0,1,0,0,0,0,NA,Errorful,1,Errorless,0.05
